source,HATE_SPEECH,COUNTER_NARRATIVE,Matched_counterSpeech,strategy
ICONAN,"The UK Government recently published a paper on 'Online Harms' - in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,Informative
ICONAN,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","at least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. they blame not only jews, but also african americans, immigrants, the federal government and even lizards from space for everything that goes wrong!","at least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. they blame not only jews, but also african americans, immigrants, the federal government and even lizards from space for everything that goes wrong!",Denouncing
ICONAN,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"400 jews died in september 11 terrorist attacks, so not one of the smartest plan i ever saw!","400 jews died in september 11 terrorist attacks, so not one of the smartest plan i ever saw!",Informative
ICONAN,The Jews are the reason why the World Cup is getting so expensive.,really? i thought it was due to the salaries of the players... but of course it's the same old jewish conspiracies fault.,really? i thought it was due to the salaries of the players... but of course it's the same old jewish conspiracies fault.,Informative
ICONAN,Gays are worse that nukes. They like to force their beliefs on others.,"well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.","well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.",Informative
ICONAN,Women are subhuman.,"i would say you've got an interesting point there, but i really don't see it. why would they be part of society if they're subhumans?","i would say you've got an interesting point there, but i really don't see it. why would they be part of society if they're subhumans?",Questioning
ICONAN,"Islam is a death cult, it is spreading from the rocks of Iraq and Afghanistan to all around the world, by the practice of violent jihad.","do you know where your information came from, and can you point that out? did you read that in a new york times article? or did you listen to the bbc documentary ""islamic state's most wanted""?","do you know where your information came from, and can you point that out? did you read that in a new york times article? or did you listen to the bbc documentary ""islamic state's most wanted""?",Informative
ICONAN,"Every Muslim is a potential terrorist, and we should ban them all.","you mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?","you mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?",Questioning
ICONAN,"We are the slaves of foreign immigrants, they are destroying our democracy.","well, who would have thought that the end of the 19th century would have seen a world conspiracy to bring us migrants of all backgrounds, religions and nationalities, to destroy our democracy?","well, who would have thought that the end of the 19th century would have seen a world conspiracy to bring us migrants of all backgrounds, religions and nationalities, to destroy our democracy?",Informative
ICONAN,"Jews are just like animals, they are incapable of love.","what you are saying is that jews are incapable of love because they are like animals. you are wrong, jews are people. i have never heard about a jewish fish nor a rabbi rabbit.","what you are saying is that jews are incapable of love because they are like animals. you are wrong, jews are people. i have never heard about a jewish fish nor a rabbi rabbit.",Denouncing
ICONAN,"Women are basically childlike, they remain this way most of their lives.","maybe you should consider that not all women are childlike, and that some women are 'childlike' with children!","maybe you should consider that not all women are childlike, and that some women are 'childlike' with children!",Informative
ICONAN,We have become too cosmopolitan and tolerant.,is there such a thing as being 'too tolerant'?,is there such a thing as being 'too tolerant'?,Informative
ICONAN,"If a woman does not want to be a homemaker, then she is a bitch.",i've never heard of a woman being a 'bitch' for wanting a stable income. i think you are confusing the meaning of these words.,i've never heard of a woman being a 'bitch' for wanting a stable income. i think you are confusing the meaning of these words.,Informative
ICONAN,"I like women, but only if they are wearing sexy knickers and obey me.",what if knickers don't suit them? what if they don't obey? would it be a problem?,what if knickers don't suit them? what if they don't obey? would it be a problem?,Questioning
ICONAN,Mentally disabled people are fucked. They are suffering from a brain injury and cannot function at work.,"even if some mentally disabled people are ""fucked"" as you kindly said, we should at least acknowledge that they are humans. to claim that they are not is to treat them like animals.","even if some mentally disabled people are ""fucked"" as you kindly said, we should at least acknowledge that they are humans. to claim that they are not is to treat them like animals.",Positive
ICONAN,I wonder how many Asians would be willing to be slaves in the US to keep the lights on in black neighborhoods.,silliness is not a bad thing if you know how to present it with a sense of humor. but this seems like nonsense to stir the pot with racist narrative.,silliness is not a bad thing if you know how to present it with a sense of humor. but this seems like nonsense to stir the pot with racist narrative.,Denouncing
ICONAN,Faggots are violent.,"i don't think this is true. homosexuals are not violent, they are just having a good time with all kinds of people.","i don't think this is true. homosexuals are not violent, they are just having a good time with all kinds of people.",Positive
ICONAN,The Jews control the banks.,"so how come the media doesn't report about jewish power in the financial world? maybe it's because they also control the media, the government, and have many powerful friends working for the galactic republic... #sarcasm","so how come the media doesn't report about jewish power in the financial world? maybe it's because they also control the media, the government, and have many powerful friends working for the galactic republic... #sarcasm",Humor
ICONAN,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,"who have you been spying on? not all homosexuals have multiple partners. some find it fulfilling to have only one sexual partner. and that is valid for heterosexuals, too.","who have you been spying on? not all homosexuals have multiple partners. some find it fulfilling to have only one sexual partner. and that is valid for heterosexuals, too.",Informative
ICONAN,Black people are genetically inferior to us.,"this is simply not true, but i'm guessing you're not a geneticist. have you tired joining a library?.","this is simply not true, but i'm guessing you're not a geneticist. have you tired joining a library?.",Informative
ICONAN,Gay pride is so awkward.,"i think you are talking about the parade, not about the people. are you?","i think you are talking about the parade, not about the people. are you?",Informative
intentconanv2,"The UK Government recently published a paper on 'Online Harms' - in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,Denouncing
intentconanv2,Gays are worse that nukes. They like to force their beliefs on others.,"well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.","well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.",Informative
intentconanv2,Women are subhuman.,"i would say you've got an interesting point there, but i really don't see it. why would they be part of society if they're subhumans?","i would say you've got an interesting point there, but i really don't see it. why would they be part of society if they're subhumans?",Questioning
intentconanv2,"Every Muslim is a potential terrorist, and we should ban them all.","you mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?","you mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?",Questioning
intentconanv2,"Jews are just like animals, they are incapable of love.","what you are saying is that jews are incapable of love because they are like animals. you are wrong, jews are people. i have never heard about a jewish fish nor a rabbi rabbit.","what you are saying is that jews are incapable of love because they are like animals. you are wrong, jews are people. i have never heard about a jewish fish nor a rabbi rabbit.",Positive
intentconanv2,"Women are basically childlike, they remain this way most of their lives.","maybe you should consider that not all women are childlike, and that some women are 'childlike' with children!","maybe you should consider that not all women are childlike, and that some women are 'childlike' with children!",Informative
intentconanv2,We have become too cosmopolitan and tolerant.,is there such a thing as being 'too tolerant'?,is there such a thing as being 'too tolerant'?,Questioning
intentconanv2,"If a woman does not want to be a homemaker, then she is a bitch.",i've never heard of a woman being a 'bitch' for wanting a stable income. i think you are confusing the meaning of these words.,i've never heard of a woman being a 'bitch' for wanting a stable income. i think you are confusing the meaning of these words.,Denouncing
intentconanv2,"I like women, but only if they are wearing sexy knickers and obey me.",what if knickers don't suit them? what if they don't obey? would it be a problem?,what if knickers don't suit them? what if they don't obey? would it be a problem?,Questioning
intentconanv2,I wonder how many Asians would be willing to be slaves in the US to keep the lights on in black neighborhoods.,silliness is not a bad thing if you know how to present it with a sense of humor. but this seems like nonsense to stir the pot with racist narrative.,silliness is not a bad thing if you know how to present it with a sense of humor. but this seems like nonsense to stir the pot with racist narrative.,Denouncing
intentconanv2,Faggots are violent.,"i don't think this is true. homosexuals are not violent, they are just having a good time with all kinds of people.","i don't think this is true. homosexuals are not violent, they are just having a good time with all kinds of people.",Informative
intentconanv2,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,"who have you been spying on? not all homosexuals have multiple partners. some find it fulfilling to have only one sexual partner. and that is valid for heterosexuals, too.","who have you been spying on? not all homosexuals have multiple partners. some find it fulfilling to have only one sexual partner. and that is valid for heterosexuals, too.",Informative
intentconanv2,Black people are genetically inferior to us.,"this is simply not true, but i'm guessing you're not a geneticist. have you tired joining a library?.","this is simply not true, but i'm guessing you're not a geneticist. have you tired joining a library?.",Questioning
intentconanv2,Gay pride is so awkward.,"i think you are talking about the parade, not about the people. are you?","i think you are talking about the parade, not about the people. are you?",Questioning
